"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,2400,"PLAY",0,0,0,0.89369180217411,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
2,1,"19:38",2378,2378,"Matthew Pegram made Jumper. Assisted by Storm Murphy.",2,0,2,0.903564478217414,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
3,1,"19:14",2354,2354,"Wajid Aminu missed Layup.",2,0,2,0.905690982007671,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
4,1,"19:14",2354,2354,"Cameron Jackson Block.",2,0,2,0.905690982007671,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
5,1,"19:12",2352,2352,"Cameron Jackson Defensive Rebound.",2,0,2,0.905690982007671,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
6,1,"19:05",2345,2345,"Fletcher Magee missed Three Point Jumper.",2,0,2,0.895926198420171,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
7,1,"19:05",2345,2345,"Storm Murphy Offensive Rebound.",2,0,2,0.895926198420171,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
8,1,"18:54",2334,2334,"Storm Murphy missed Three Point Jumper.",2,0,2,0.900577662158912,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
9,1,"18:54",2334,2334,"Ivan Gandia-Rosa Defensive Rebound.",2,0,2,0.900577662158912,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
10,1,"18:46",2326,2326,"Ivan Gandia-Rosa Turnover.",2,0,2,0.903802822687021,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
11,1,"18:33",2313,2313,"Matthew Pegram missed Layup.",2,0,2,0.890889122975208,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
12,1,"18:33",2313,2313,"Wajid Aminu Defensive Rebound.",2,0,2,0.890889122975208,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
13,1,"18:21",2301,2301,"Wajid Aminu Turnover.",2,0,2,0.892923748391104,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
14,1,"18:20",2300,2300,"Cameron Jackson Steal.",2,0,2,0.892923748391104,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
15,1,"18:16",2296,2296,"Storm Murphy Turnover.",2,0,2,0.900693245558414,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
16,1,"18:15",2295,2295,"J.T. Escobar Steal.",2,0,2,0.900693245558414,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
17,1,"18:09",2289,2289,"Garrett Sams made Layup.",2,2,0,0.876630483653474,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
18,1,"17:42",2262,2262,"Storm Murphy missed Three Point Jumper.",2,2,0,0.885075662327539,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
19,1,"17:42",2262,2262,"J.T. Escobar Defensive Rebound.",2,2,0,0.885075662327539,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
20,1,"17:31",2251,2251,"Foul on Nathan Hoover.",2,2,0,0.873283034522758,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
21,1,"17:31",2251,2251,"Garrett Sams made Free Throw.",2,3,-1,0.862213061288824,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
22,1,"17:31",2251,2251,"Garrett Sams made Free Throw.",2,4,-2,0.850341748119986,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
23,1,"17:19",2239,2239,"Matthew Pegram made Jumper. Assisted by Nathan Hoover.",4,4,0,0.877742777180002,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
24,1,"17:07",2227,2227,"Wajid Aminu missed Three Point Jumper.",4,4,0,0.879213236601938,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
25,1,"17:07",2227,2227,"Fletcher Magee Defensive Rebound.",4,4,0,0.879213236601938,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
26,1,"16:46",2206,2206,"Nathan Hoover made Three Point Jumper. Assisted by Fletcher Magee.",7,4,3,0.907694411582526,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
27,1,"16:23",2183,2183,"Garrett Sams missed Layup.",7,4,3,0.90640307953693,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
28,1,"16:23",2183,2183,"Noah Horchler Offensive Rebound.",7,4,3,0.90640307953693,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
29,1,"16:19",2179,2179,"J.T. Escobar made Three Point Jumper. Assisted by Noah Horchler.",7,7,0,0.871856874763381,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
30,1,"15:55",2155,2155,"Fletcher Magee made Three Point Jumper. Assisted by Nathan Hoover.",10,7,3,0.905977225217192,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
31,1,"15:40",2140,2140,"Noah Horchler made Three Point Jumper. Assisted by J.T. Escobar.",10,10,0,0.877499973333133,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
32,1,"15:17",2117,2117,"Matthew Pegram missed Jumper.",10,10,0,0.879971713099591,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
33,1,"15:17",2117,2117,"Garrett Sams Defensive Rebound.",10,10,0,0.879971713099591,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
34,1,"15:10",2110,2110,"J.T. Escobar missed Three Point Jumper.",10,10,0,0.879971713099591,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
35,1,"15:10",2110,2110,"Noah Horchler Offensive Rebound.",10,10,0,0.879971713099591,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
36,1,"14:56",2096,2096,"Ivan Gandia-Rosa made Three Point Jumper.",10,13,-3,0.813990565137729,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
37,1,"14:39",2079,2079,"Nathan Hoover Turnover.",10,13,-3,0.833420865718265,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
38,1,"14:38",2078,2078,"Noah Horchler Steal.",10,13,-3,0.833420865718265,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
39,1,"14:25",2065,2065,"Garrett Sams missed Three Point Jumper.",10,13,-3,0.817619990686881,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
40,1,"14:25",2065,2065,"Cameron Jackson Defensive Rebound.",10,13,-3,0.817619990686881,"Wofford","North Florida",4,4,0,0,12.7,400988667,2017-11-19
