"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,2400,"PLAY",0,0,0,0.907335563077218,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
2,1,"19:50",2390,2390,"Dakota Mathias missed Jumper.",0,0,0,0.907335563077218,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
3,1,"19:50",2390,2390,"Jaume Sorolla Defensive Rebound.",0,0,0,0.907335563077218,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
4,1,"19:38",2378,2378,"Tevonn Walker made Jumper.",0,2,-2,0.88073253412528,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
5,1,"19:23",2363,2363,"Foul on Jaume Sorolla.",0,2,-2,0.883522845133027,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
6,1,"19:22",2362,2362,"Carsen Edwards missed Jumper.",0,2,-2,0.883522845133027,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
7,1,"19:22",2362,2362,"Bakari Evelyn Defensive Rebound.",0,2,-2,0.883522845133027,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
8,1,"18:58",2338,2338,"Parker Hazen Turnover.",0,2,-2,0.877656701709741,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
9,1,"18:43",2323,2323,"Carsen Edwards missed Jumper.",0,2,-2,0.875126439547853,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
10,1,"18:43",2323,2323,"Jaume Sorolla Defensive Rebound.",0,2,-2,0.875126439547853,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
11,1,"18:32",2312,2312,"Bakari Evelyn Turnover.",0,2,-2,0.86341826259134,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
12,1,"18:12",2292,2292,"Vincent Edwards missed Jumper.",0,2,-2,0.876056350355095,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
13,1,"18:12",2292,2292,"Tevonn Walker Defensive Rebound.",0,2,-2,0.876056350355095,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
14,1,"17:54",2274,2274,"Bakari Evelyn Turnover.",0,2,-2,0.872997146872619,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
15,1,"17:44",2264,2264,"Dakota Mathias missed Three Point Jumper.",0,2,-2,0.874108898932175,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
16,1,"17:44",2264,2264,"Jaume Sorolla Defensive Rebound.",0,2,-2,0.874108898932175,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
17,1,"17:34",2254,2254,"Tevonn Walker Turnover.",0,2,-2,0.866690475270269,"Purdue","Valparaiso",4,4,0,0,15,400986412,2017-12-07
