"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,2400,"PLAY",0,0,0,0.277138131440381,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
2,1,"19:40",2380,2380,"Foul on Xavier Cooks.",0,0,0,0.283151844058344,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
3,1,"19:38",2378,2378,"DJ Laster made Free Throw.",1,0,1,0.322816921348546,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
4,1,"19:38",2378,2378,"DJ Laster missed Free Throw.",1,0,1,0.322816921348546,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
5,1,"19:38",2378,2378,"Xavier Cooks Defensive Rebound.",1,0,1,0.322816921348546,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
6,1,"19:33",2373,2373,"Foul on Patrick Zeck.",1,0,1,0.322816921348546,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
7,1,"19:17",2357,2357,"Foul on Christian Turner.",1,0,1,0.324214576183771,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
8,1,"19:17",2357,2357,"Josh Ferguson missed Free Throw.",1,0,1,0.324214576183771,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
9,1,"19:17",2357,2357,"Winthrop Deadball Team Rebound.",1,0,1,0.324214576183771,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
10,1,"19:17",2357,2357,"Josh Ferguson made Free Throw.",1,1,0,0.305244557252693,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
11,1,"19:01",2341,2341,"DJ Laster missed Jumper.",1,1,0,0.294500882796222,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
12,1,"19:01",2341,2341,"Josh Ferguson Defensive Rebound.",1,1,0,0.294500882796222,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
13,1,"18:53",2333,2333,"Josh Ferguson made Layup. Assisted by Anders Broman.",1,3,-2,0.258773621608485,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
14,1,"18:52",2332,2332,"Foul on Patrick Zeck.",1,3,-2,0.258773621608485,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
15,1,"18:52",2332,2332,"Josh Ferguson made Free Throw.",1,4,-3,0.241178409076102,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
16,1,"18:35",2315,2315,"David Efianayi made Three Point Jumper. Assisted by DJ Laster.",4,4,0,0.295171803606991,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
17,1,"18:21",2301,2301,"Xavier Cooks made Three Point Jumper. Assisted by Anders Broman.",4,7,-3,0.237794149408693,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
18,1,"18:03",2283,2283,"Liam O'Reilly made Jumper. Assisted by DJ Laster.",6,7,-1,0.271363004446161,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
19,1,"17:50",2270,2270,"Xavier Cooks Turnover.",6,7,-1,0.281898492745849,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
20,1,"17:49",2269,2269,"Christian Turner Steal.",6,7,-1,0.272175835015096,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
21,1,"17:36",2256,2256,"David Efianayi missed Three Point Jumper.",6,7,-1,0.290315073548254,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
22,1,"17:36",2256,2256,"L'Hassane Niangane Offensive Rebound.",6,7,-1,0.290315073548254,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
23,1,"17:32",2252,2252,"Foul on Bjorn Broman.",6,7,-1,0.290315073548254,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
24,1,"17:32",2252,2252,"DJ Laster made Jumper. Assisted by Christian Turner.",8,7,1,0.331627227252141,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
25,1,"17:16",2236,2236,"Adam Pickett missed Three Point Jumper.",8,7,1,0.325810108469296,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
26,1,"17:16",2236,2236,"Winthrop Offensive Rebound.",8,7,1,0.325810108469296,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
27,1,"17:00",2220,2220,"Xavier Cooks missed Three Point Jumper.",8,7,1,0.323849659848103,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
28,1,"17:00",2220,2220,"L'Hassane Niangane Defensive Rebound.",8,7,1,0.323849659848103,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
29,1,"16:36",2196,2196,"DJ Laster missed Jumper.",8,7,1,0.336412230765731,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
30,1,"16:36",2196,2196,"Anders Broman Defensive Rebound.",8,7,1,0.336412230765731,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
31,1,"16:21",2181,2181,"Xavier Cooks Turnover.",8,7,1,0.32831007647459,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
32,1,"16:20",2180,2180,"Christian Turner Steal.",8,7,1,0.32831007647459,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
33,1,"16:13",2173,2173,"David Efianayi missed Jumper.",8,7,1,0.321255025614625,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
34,1,"16:13",2173,2173,"David Efianayi Offensive Rebound.",8,7,1,0.321255025614625,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
35,1,"16:12",2172,2172,"Liam O'Reilly made Three Point Jumper. Assisted by David Efianayi.",11,7,4,0.396011991889143,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
36,1,"15:48",2148,2148,"Xavier Cooks made Three Point Jumper. Assisted by Adam Pickett.",11,10,1,0.331111445211799,"Gardner-Webb","Winthrop",4,4,0,0,-4.6,400992322,2018-02-15
