"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,2400,"PLAY",0,0,0,0.925103107777621,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
2,1,"19:49",2389,2389,"Eron Harris missed Layup.",0,0,0,0.921481023078008,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
3,1,"19:49",2389,2389,"Albert Owens Defensive Rebound.",0,0,0,0.921481023078008,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
4,1,"19:30",2370,2370,"Emmanuel Nzekwesi missed Layup.",0,0,0,0.917322684582192,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
5,1,"19:30",2370,2370,"Emmanuel Nzekwesi Offensive Rebound.",0,0,0,0.917322684582192,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
6,1,"19:27",2367,2367,"Emmanuel Nzekwesi missed Layup.",0,0,0,0.909394734919237,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
7,1,"19:27",2367,2367,"Kyle Ahrens Defensive Rebound.",0,0,0,0.909394734919237,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
8,1,"18:57",2337,2337,"Lourawls Nairn Jr. missed Three Point Jumper.",0,0,0,0.914889814581322,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
9,1,"18:57",2337,2337,"Emmanuel Nzekwesi Defensive Rebound.",0,0,0,0.914889814581322,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
10,1,"18:37",2317,2317,"Albert Owens missed Layup.",0,0,0,0.904570285380066,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
11,1,"18:37",2317,2317,"Kenny Goins Defensive Rebound.",0,0,0,0.904570285380066,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
12,1,"18:25",2305,2305,"Matt McQuaid missed Jumper.",0,0,0,0.906308871425605,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
13,1,"18:25",2305,2305,"Emmanuel Nzekwesi Defensive Rebound.",0,0,0,0.906308871425605,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
14,1,"18:05",2285,2285,"Albert Owens made Jumper.",0,2,-2,0.891445939008268,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
15,1,"17:46",2266,2266,"Eron Harris missed Jumper.",0,2,-2,0.896232643400741,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
16,1,"17:46",2266,2266,"Kris Martin Defensive Rebound.",0,2,-2,0.896232643400741,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
17,1,"17:33",2253,2253,"Albert Owens missed Layup.",0,2,-2,0.888666120330159,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
18,1,"17:33",2253,2253,"Kenny Goins Defensive Rebound.",0,2,-2,0.888666120330159,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
19,1,"17:15",2235,2235,"Eron Harris Turnover.",0,2,-2,0.890667226202724,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
20,1,"17:01",2221,2221,"Emmanuel Nzekwesi missed Three Point Jumper.",0,2,-2,0.893998925444577,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
21,1,"17:01",2221,2221,"Albert Owens Offensive Rebound.",0,2,-2,0.893998925444577,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
22,1,"16:51",2211,2211,"Foul on Kenny Goins.",0,2,-2,0.880851047309377,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
23,1,"16:51",2211,2211,"Emmanuel Nzekwesi made Jumper. Assisted by Jalen Bradley.",0,4,-4,0.850530436126251,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
24,1,"16:39",2199,2199,"Kyle Ahrens missed Three Point Jumper.",0,4,-4,0.870180839720912,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
25,1,"16:39",2199,2199,"Oral Roberts Defensive Rebound.",0,4,-4,0.870180839720912,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
26,1,"16:23",2183,2183,"Foul on Emmanuel Nzekwesi.",0,4,-4,0.864815064001906,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
27,1,"16:23",2183,2183,"Emmanuel Nzekwesi Turnover.",0,4,-4,0.864815064001906,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
28,1,"16:07",2167,2167,"Eron Harris made Layup.",2,4,-2,0.883970425512802,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
29,1,"15:54",2154,2154,"Kris Martin made Layup.",2,6,-4,0.855351807889727,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
30,1,"15:35",2135,2135,"Nick Ward missed Layup.",2,6,-4,0.857428386600941,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
31,1,"15:35",2135,2135,"Albert Owens Block.",2,6,-4,0.857428386600941,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
32,1,"15:33",2133,2133,"Oral Roberts Defensive Rebound.",2,6,-4,0.857428386600941,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
33,1,"15:33",2133,2133,"Official TV Timeout",2,6,-4,0.857428386600941,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
34,1,"15:11",2111,2111,"Emmanuel Nzekwesi missed Layup.",2,6,-4,0.86794672533639,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
35,1,"15:11",2111,2111,"Emmanuel Nzekwesi Offensive Rebound.",2,6,-4,0.86794672533639,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
36,1,"15:08",2108,2108,"Emmanuel Nzekwesi made Two Point Tip Shot.",2,8,-6,0.824938817144343,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
37,1,"14:41",2081,2081,"Foul on Aaron Young.",2,8,-6,0.824654952551246,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
38,1,"14:41",2081,2081,"Nick Ward missed Free Throw.",2,8,-6,0.824654952551246,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
39,1,"14:41",2081,2081,"Michigan St Deadball Team Rebound.",2,8,-6,0.824654952551246,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
40,1,"14:41",2081,2081,"Nick Ward made Free Throw.",3,8,-5,0.839988588039872,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
41,1,"14:30",2070,2070,"Kris Martin Turnover.",3,8,-5,0.851616981625234,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
42,1,"14:29",2069,2069,"Nick Ward Steal.",3,8,-5,0.8319227508677,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
43,1,"14:26",2066,2066,"Nick Ward Turnover.",3,8,-5,0.8319227508677,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
44,1,"14:12",2052,2052,"Albert Owens missed Layup.",3,8,-5,0.85205253491079,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
45,1,"14:12",2052,2052,"Nick Ward Block.",3,8,-5,0.85205253491079,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
46,1,"14:11",2051,2051,"Cassius Winston Defensive Rebound.",3,8,-5,0.85205253491079,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
47,1,"13:50",2030,2030,"Cassius Winston missed Jumper.",3,8,-5,0.858952134039933,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
48,1,"13:50",2030,2030,"Matt Van Dyk Offensive Rebound.",3,8,-5,0.858952134039933,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
49,1,"13:43",2023,2023,"Matt Van Dyk missed Layup.",3,8,-5,0.827897363247612,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
50,1,"13:43",2023,2023,"Albert Owens Defensive Rebound.",3,8,-5,0.827897363247612,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
51,1,"13:25",2005,2005,"Kris Martin made Layup.",3,10,-7,0.804333714274366,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
52,1,"13:18",1998,1998,"Joshua Langford made Three Point Jumper. Assisted by Cassius Winston.",6,10,-4,0.847436273783242,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
53,1,"12:55",1975,1975,"Aaron Young missed Three Point Jumper.",6,10,-4,0.855316847527373,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
54,1,"12:55",1975,1975,"Nick Ward Defensive Rebound.",6,10,-4,0.855316847527373,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
55,1,"12:47",1967,1967,"Cassius Winston missed Layup.",6,10,-4,0.857092384182997,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
56,1,"12:47",1967,1967,"Matt Van Dyk Offensive Rebound.",6,10,-4,0.857092384182997,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
57,1,"12:45",1965,1965,"Matt Van Dyk missed Layup.",6,10,-4,0.857092384182997,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
58,1,"12:45",1965,1965,"Jalen Bradley Defensive Rebound.",6,10,-4,0.857092384182997,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
59,1,"12:34",1954,1954,"Kris Martin missed Three Point Jumper.",6,10,-4,0.84026837836355,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
60,1,"12:34",1954,1954,"Nick Ward Defensive Rebound.",6,10,-4,0.84026837836355,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
61,1,"12:28",1948,1948,"Cassius Winston made Layup. Assisted by Nick Ward.",8,10,-2,0.872301034271482,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
62,1,"12:27",1947,1947,"Foul on Aaron Young.",8,10,-2,0.872301034271482,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
63,1,"12:27",1947,1947,"Cassius Winston made Free Throw.",9,10,-1,0.885722774371609,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
64,1,"12:03",1923,1923,"Chris Miller Turnover.",9,10,-1,0.893774344036852,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
65,1,"12:03",1923,1923,"Foul on Chris Miller.",9,10,-1,0.893774344036852,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
66,1,"11:51",1911,1911,"Foul on Kris Martin.",9,10,-1,0.891224763918123,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
67,1,"11:51",1911,1911,"Official TV Timeout",9,10,-1,0.891224763918123,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
68,1,"11:49",1909,1909,"Joshua Langford made Three Point Jumper. Assisted by Alvin Ellis III.",12,10,2,0.919676529925843,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
69,1,"11:24",1884,1884,"Jalen Bradley made Three Point Jumper. Assisted by Emmanuel Nzekwesi.",12,13,-1,0.887761417153112,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
70,1,"10:53",1853,1853,"Kyle Ahrens missed Three Point Jumper.",12,13,-1,0.88142043053981,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
71,1,"10:53",1853,1853,"Emmanuel Nzekwesi Block.",12,13,-1,0.88142043053981,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
72,1,"10:50",1850,1850,"Chris Miller Defensive Rebound.",12,13,-1,0.88142043053981,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
73,1,"10:36",1836,1836,"Kris Martin made Three Point Jumper. Assisted by Darian Harris.",12,16,-4,0.829714603859581,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
74,1,"10:21",1821,1821,"Foul on Chris Miller.",12,16,-4,0.854756890946887,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
75,1,"10:21",1821,1821,"Kyle Ahrens made Free Throw.",13,16,-3,0.869070084975422,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
76,1,"10:21",1821,1821,"Kyle Ahrens made Free Throw.",14,16,-2,0.882167211367212,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
77,1,"9:59",1799,1799,"Jalen Bradley Turnover.",14,16,-2,0.855619698483355,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
78,1,"9:58",1798,1798,"Eron Harris Steal.",14,16,-2,0.855619698483355,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
79,1,"9:43",1783,1783,"Alvin Ellis III made Three Point Jumper. Assisted by Lourawls Nairn Jr..",17,16,1,0.890554671737105,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
80,1,"9:27",1767,1767,"Albert Owens missed Layup.",17,16,1,0.911789575334299,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
81,1,"9:27",1767,1767,"Albert Owens Offensive Rebound.",17,16,1,0.911789575334299,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
82,1,"9:26",1766,1766,"Foul on Alvin Ellis III.",17,16,1,0.911789575334299,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
83,1,"9:17",1757,1757,"Foul on Matt Van Dyk.",17,16,1,0.905268687432493,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
84,1,"9:14",1754,1754,"Jalen Bradley missed Three Point Jumper.",17,16,1,0.905268687432493,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
85,1,"9:14",1754,1754,"Lourawls Nairn Jr. Defensive Rebound.",17,16,1,0.905268687432493,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
86,1,"9:06",1746,1746,"Alvin Ellis III missed Three Point Jumper.",17,16,1,0.896867956944777,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
87,1,"9:06",1746,1746,"Darian Harris Defensive Rebound.",17,16,1,0.896867956944777,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
88,1,"8:57",1737,1737,"Jontray Harris missed Three Point Jumper.",17,16,1,0.903188349465442,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
89,1,"8:57",1737,1737,"Nick Ward Defensive Rebound.",17,16,1,0.903188349465442,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
90,1,"8:46",1726,1726,"Alvin Ellis III Turnover.",17,16,1,0.889283308625341,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
91,1,"8:45",1725,1725,"Jalen Bradley Steal.",17,16,1,0.889283308625341,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
92,1,"8:44",1724,1724,"Jalen Bradley missed Layup.",17,16,1,0.889283308625341,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
93,1,"8:44",1724,1724,"Alvin Ellis III Defensive Rebound.",17,16,1,0.889283308625341,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
94,1,"8:34",1714,1714,"Alvin Ellis III missed Three Point Jumper.",17,16,1,0.909501447540101,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
95,1,"8:34",1714,1714,"Emmanuel Nzekwesi Defensive Rebound.",17,16,1,0.909501447540101,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
96,1,"8:11",1691,1691,"Albert Owens missed Jumper.",17,16,1,0.89782794809337,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
97,1,"8:11",1691,1691,"Eron Harris Defensive Rebound.",17,16,1,0.89782794809337,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
98,1,"7:52",1672,1672,"Eron Harris missed Three Point Jumper.",17,16,1,0.902583980023986,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
99,1,"7:52",1672,1672,"Alvin Ellis III Offensive Rebound.",17,16,1,0.902583980023986,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
100,1,"7:45",1665,1665,"Alvin Ellis III missed Three Point Jumper.",17,16,1,0.899486761939203,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
101,1,"7:45",1665,1665,"Matt Van Dyk Offensive Rebound.",17,16,1,0.899486761939203,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
102,1,"7:41",1661,1661,"Eron Harris missed Three Point Jumper.",17,16,1,0.899486761939203,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
103,1,"7:41",1661,1661,"Alvin Ellis III Offensive Rebound.",17,16,1,0.899486761939203,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
104,1,"7:28",1648,1648,"Foul on Jalen Bradley.",17,16,1,0.901437374130124,"Michigan State","Oral Roberts",4,4,0,0,22,400915067,2016-12-03
