"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,2400,"PLAY",0,0,0,0.882598451851216,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
2,1,"19:42",2382,2382,"Foul on Brandonn Kamga.",0,0,0,0.878435478954623,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
3,1,"19:42",2382,2382,"Cameron Johnson made Free Throw.",1,0,1,0.881851750622106,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
4,1,"19:42",2382,2382,"Cameron Johnson missed Free Throw.",1,0,1,0.881851750622106,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
5,1,"19:42",2382,2382,"Jaylen McManus Offensive Rebound.",1,0,1,0.881851750622106,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
6,1,"19:22",2362,2362,"Joe Chealey made Layup. Assisted by Grant Riller.",3,0,3,0.875608568466718,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
7,1,"19:02",2342,2342,"Brandonn Kamga missed Jumper.",3,0,3,0.894684718062741,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
8,1,"19:02",2342,2342,"Joe Chealey Defensive Rebound.",3,0,3,0.894684718062741,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
9,1,"18:42",2322,2322,"Grant Riller made Jumper.",5,0,5,0.921468241424587,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
10,1,"18:26",2306,2306,"Andre Fox missed Jumper.",5,0,5,0.91040579991533,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
11,1,"18:26",2306,2306,"Jaylen McManus Block.",5,0,5,0.91040579991533,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
12,1,"18:25",2305,2305,"High Point Offensive Rebound.",5,0,5,0.91040579991533,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
13,1,"18:10",2290,2290,"Brandonn Kamga missed Jumper.",5,0,5,0.916398543082801,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
14,1,"18:10",2290,2290,"Cameron Johnson Block.",5,0,5,0.916398543082801,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
15,1,"18:09",2289,2289,"Jaylen McManus Defensive Rebound.",5,0,5,0.915458570675471,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
16,1,"18:04",2284,2284,"Joe Chealey missed Three Point Jumper.",5,0,5,0.915458570675471,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
17,1,"18:04",2284,2284,"Nick Harris Offensive Rebound.",5,0,5,0.915458570675471,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
18,1,"17:28",2248,2248,"Nick Harris made Jumper.",7,0,7,0.919871219408492,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
19,1,"17:11",2231,2231,"Denny Slay missed Jumper.",7,0,7,0.934197728284731,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
20,1,"17:11",2231,2231,"Cameron Johnson Defensive Rebound.",7,0,7,0.934197728284731,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
21,1,"16:54",2214,2214,"Nick Harris missed Jumper.",7,0,7,0.939708491924739,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
22,1,"16:54",2214,2214,"Justyn Mutts Defensive Rebound.",7,0,7,0.939708491924739,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
23,1,"16:45",2205,2205,"Andre Fox made Layup.",7,2,5,0.917751538912383,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
24,1,"16:17",2177,2177,"Grant Riller Turnover.",7,2,5,0.913745189595146,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
25,1,"16:16",2176,2176,"Andre Fox Steal.",7,2,5,0.913745189595146,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
26,1,"15:55",2155,2155,"Brandonn Kamga Turnover.",7,2,5,0.917081832872517,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
27,1,"15:55",2155,2155,"Cameron Johnson Steal.",7,2,5,0.917081832872517,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
28,1,"15:47",2147,2147,"Grant Riller missed Layup.",7,2,5,0.91491550196997,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
29,1,"15:47",2147,2147,"Justyn Mutts Block.",7,2,5,0.91491550196997,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
30,1,"15:46",2146,2146,"Grant Riller Offensive Rebound.",7,2,5,0.91491550196997,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
31,1,"15:44",2144,2144,"Grant Riller made Layup.",9,2,7,0.929420732533312,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
32,1,"15:23",2123,2123,"Ricky Madison made Layup. Assisted by Brandonn Kamga.",9,4,5,0.914999284107221,"Charleston","High Point",4,4,0,0,11.4,400990570,2017-12-04
