"coefficient","estimate","std_error","z_value","p_value","min_time","max_time"
"score_diff",0.0808454824280952,0.00406813252937832,19.8728733256017,6.98858298584362e-88,2300,2400
"favored_by",0.160019716337332,0.00106985749079564,149.571057560504,0,2300,2400
"timeout_diff",0.125334463834621,0.339626256804422,0.369036437329391,0.712100565590671,2300,2400
"timeout_ind",0.378087751815213,0.333872444021026,1.13243173728768,0.257452968192922,2300,2400
"score_diff",0.0838545054443484,0.00369368180935216,22.7021464686087,4.26649080828665e-114,2290,2390
"favored_by",0.159862222002902,0.00107727203782385,148.395406536155,0,2290,2390
"timeout_diff",-0.16570455681919,0.280064058039654,-0.591666627910275,0.554073847847122,2290,2390
"timeout_ind",0.0322292997387142,0.278840352765558,0.115583341575428,0.907982765906125,2290,2390
"score_diff",0.0864326509786941,0.00340048312746731,25.4177561654509,1.60502241773667e-142,2280,2380
"favored_by",0.159803296276535,0.00107012717617684,149.331126088631,0,2280,2380
"timeout_diff",-0.209767801234897,0.234398526308994,-0.89491945422205,0.370830146400468,2280,2380
"timeout_ind",-0.0532818398146611,0.234838407866451,-0.226887246846614,0.820511419017821,2280,2380
"score_diff",0.0861533324632904,0.00316509871679972,27.2197931792792,3.78754817564903e-163,2270,2370
"favored_by",0.160051851304572,0.00106542363667528,150.223672345043,0,2270,2370
"timeout_diff",0.129744791312111,0.182658024321308,0.710315310779235,0.477508627368331,2270,2370
"timeout_ind",0.27215736441888,0.185238418269501,1.46922742572181,0.141771113845739,2270,2370
"score_diff",0.0894924327885598,0.00297524554666438,30.0790073911351,9.11908610666973e-199,2260,2360
"favored_by",0.160436093102778,0.0010579656434264,151.645844172386,0,2260,2360
"timeout_diff",-0.0625235692889692,0.158470604497697,-0.394543640993545,0.693179713825384,2260,2360
"timeout_ind",0.0550385015773554,0.162321961207768,0.339069964210866,0.734557024646811,2260,2360
"score_diff",0.0890126103097128,0.00281364650816108,31.6360317657277,1.1803342683538e-219,2250,2350
"favored_by",0.159670084320607,0.00105010009077744,152.052252659454,0,2250,2350
"timeout_diff",-0.144574303314499,0.126753111755334,-1.1405976651174,0.254037389347014,2250,2350
"timeout_ind",-0.0467526305638149,0.132830221855706,-0.3519728410497,0.724858630537028,2250,2350
"score_diff",0.0889842784561711,0.0026693694680488,33.3353173928429,1.18907787229425e-243,2240,2340
"favored_by",0.158932390905656,0.00104305827189794,152.371535884054,0,2240,2340
"timeout_diff",-0.246042270947372,0.105963119859403,-2.32196136989767,0.020235015786618,2240,2340
"timeout_ind",-0.149742189415198,0.113136154597918,-1.32355735394558,0.185650096400498,2240,2340
"score_diff",0.0901598897608415,0.00255444831565994,35.2952491573699,6.9454238404518e-273,2230,2330
"favored_by",0.158824710942225,0.00104018511360382,152.688890530227,0,2230,2330
"timeout_diff",-0.260293946608495,0.0916033595486486,-2.84153275481407,0.00448972396229799,2230,2330
"timeout_ind",-0.162536013190272,0.0996064153759928,-1.6317825772239,0.102725296894659,2230,2330
"score_diff",0.0901693255431023,0.00244970653401695,36.808215307017,1.36421794786693e-296,2220,2320
"favored_by",0.158701893249787,0.00103791307042582,152.904802696701,0,2220,2320
"timeout_diff",-0.295580888587329,0.0811620674344661,-3.64186002070481,0.00027067524949447,2220,2320
"timeout_ind",-0.223312299126846,0.0898391945807666,-2.48568901545622,0.0129300902079065,2220,2320
"score_diff",0.092188235148107,0.00236220750536613,39.0263069348001,0,2210,2310
"favored_by",0.158864165860436,0.00103728456149717,153.153890221925,0,2210,2310
"timeout_diff",-0.218305922756246,0.071704799985782,-3.04450919324136,0.00233060307205506,2210,2310
"timeout_ind",-0.164354608754939,0.0808855388068423,-2.03194058146072,0.0421596715899901,2210,2310
"score_diff",0.0944220040960772,0.00229502497173452,41.1420377812776,0,2200,2300
"favored_by",0.159114274662563,0.00103822595270347,153.255921072132,0,2200,2300
"timeout_diff",-0.18503647441315,0.0638531245611358,-2.8978452610567,0.0037573592021937,2200,2300
"timeout_ind",-0.126771804218828,0.0733649602882618,-1.72796119183766,0.0839951822989813,2200,2300
"score_diff",0.0946970685433683,0.00222363459878568,42.5866140934675,0,2190,2290
"favored_by",0.15925205790826,0.00103796449087203,153.427269727181,0,2190,2290
"timeout_diff",-0.173297062586462,0.0564591907187905,-3.06942165447629,0.00214473650450153,2190,2290
"timeout_ind",-0.1421724464369,0.0667258263203506,-2.13069592805535,0.0331142007678039,2190,2290
"score_diff",0.0960147190129608,0.00216499707719499,44.3486598778041,0,2180,2280
"favored_by",0.158605272015402,0.00103613788220749,153.073519209136,0,2180,2280
"timeout_diff",-0.160623557997906,0.0507006507107476,-3.16807685396938,0.00153450949537747,2180,2280
"timeout_ind",-0.120751387670619,0.0613255978292125,-1.96902096261504,0.0489506839205928,2180,2280
"score_diff",0.0965060765868926,0.00210588797912463,45.8267854432637,0,2170,2270
"favored_by",0.158207446558935,0.00103261702081147,153.21018671047,0,2170,2270
"timeout_diff",-0.147347818432795,0.0457844128764432,-3.21829655936482,0.00128954413195927,2170,2270
"timeout_ind",-0.11440893145596,0.0568327751360276,-2.01308014929986,0.0441061981920622,2170,2270
"score_diff",0.0968342231869165,0.00205824114736672,47.047073813875,0,2160,2260
"favored_by",0.157238876369037,0.00103032459608797,152.61100915775,0,2160,2260
"timeout_diff",-0.120223005185297,0.0419765761259729,-2.86404981731965,0.00418262224585225,2160,2260
"timeout_ind",-0.0890683184902497,0.0535181863191118,-1.66426264819895,0.0960599533032651,2160,2260
"score_diff",0.0974114571008972,0.00199390835941098,48.8545306714464,0,2150,2250
"favored_by",0.156924250490276,0.00102072565637256,153.737930961734,0,2150,2250
"timeout_diff",-0.068408733501137,0.0381559899834594,-1.79287009800538,0.0729936976294369,2150,2250
