"coefficient","estimate","std_error","z_value","p_value","min_time","max_time"
"score_diff",0.0683756223839854,0.0144509667972554,4.7315604099908,2.22800490704121e-06,2370,2400
"favored_by",0.162658537749465,0.00193954180290716,83.8644145259758,0,2370,2400
"timeout_diff",-10.038067816205,72.4669844793019,-0.138519187576683,0.889830106298293,2370,2400
"timeout_ind",-11.0298845118107,72.4628564130944,-0.152214321347365,0.879017898780436,2370,2400
"score_diff",0.0627966292748344,0.0133473438878965,4.70480342772758,2.54110674154346e-06,2367,2397
"favored_by",0.163338755895189,0.00228506813237466,71.4809127924977,0,2367,2397
"timeout_diff",-11.3704567018454,119.469434015763,-0.0951746092673811,0.92417613729038,2367,2397
"timeout_ind",-12.0360765471182,119.46804405462,-0.100747247034658,0.919751104437554,2367,2397
"score_diff",0.0507246816837758,0.01230973091717,4.12069784669489,3.77726538510876e-05,2364,2394
"favored_by",0.162683187749041,0.00216611429966738,75.10369502386,0,2364,2394
"timeout_diff",-10.8462886981345,82.5204575177398,-0.131437573474466,0.895429167138277,2364,2394
"timeout_ind",-11.6207465252303,82.5189639078757,-0.140825162785656,0.888008064129176,2364,2394
"score_diff",0.0500531970565237,0.0112545726595564,4.44736540165502,8.69298945159929e-06,2361,2391
"favored_by",0.161964386238439,0.00206511213344668,78.4288579856045,0,2361,2391
"timeout_diff",-10.7505512553189,82.5331515180945,-0.130257370009214,0.896362806452706,2361,2391
"timeout_ind",-11.6163882234806,82.5318154812322,-0.140750426435514,0.888067107049017,2361,2391
"score_diff",0.0480097404655292,0.0104604343888273,4.58965074307124,4.43988265165905e-06,2358,2388
"favored_by",0.161004818240187,0.00200363221867092,80.3564729793513,0,2358,2388
"timeout_diff",-11.3209442931684,101.526378003412,-0.111507418227684,0.911213983392065,2358,2388
"timeout_ind",-12.0679393097454,101.525398362493,-0.118866209878411,0.905381352530521,2358,2388
"score_diff",0.0487859946490286,0.00989495278026821,4.93039186061748,8.2064834583156e-07,2355,2385
"favored_by",0.16059104235895,0.00199539533473702,80.4808147855648,0,2355,2385
"timeout_diff",-11.3723905630329,101.473674358577,-0.112072324520805,0.910766060988511,2355,2385
"timeout_ind",-12.0627054740422,101.472851518466,-0.118876185043909,0.905373449533791,2355,2385
"score_diff",0.0616658665481926,0.00949169158094628,6.49682577887184,8.20323656918976e-11,2352,2382
"favored_by",0.161235542335828,0.00201065058195958,80.1907321851457,0,2352,2382
"timeout_diff",-11.5290825133867,87.6686282084055,-0.13150750444024,0.895373850447513,2352,2382
"timeout_ind",-12.3746879840297,87.66785553084,-0.141154222480969,0.887748109067792,2352,2382
"score_diff",0.0661866029605756,0.00913714970675843,7.24368157299861,4.36665967355549e-13,2349,2379
