"coefficient","estimate","std_error","z_value","p_value","min_time","max_time"
"score_diff",0.0798148980595633,0.00404561397854471,19.7287478446657,1.22158733944755e-86,2300,2400
"favored_by",0.159973747218575,0.00106953915611894,149.572595171808,0,2300,2400
"score_diff",0.0828745231772669,0.00366520829517545,22.6111359854651,3.36759852330582e-113,2290,2390
"favored_by",0.159819796407563,0.00107698195188764,148.395983913607,0,2290,2390
"score_diff",0.0854576527238514,0.00336208723684482,25.4180354951319,1.59364970135016e-142,2280,2380
"favored_by",0.159763676447811,0.00106985193925556,149.332510963134,0,2280,2380
"score_diff",0.0851217966738875,0.00311965895443929,27.2856097147282,6.28532156785253e-164,2270,2370
"favored_by",0.16002178294588,0.00106522476499928,150.223491045093,0,2270,2370
"score_diff",0.0884948984323336,0.00292378843695447,30.2672030964434,3.09834271842752e-201,2260,2360
"favored_by",0.160410007577047,0.00105780758446254,151.643843297408,0,2260,2360
"score_diff",0.0879584568006511,0.00275159075060816,31.966402264294,3.19686601968807e-224,2250,2350
"favored_by",0.159643870988486,0.00104995946795421,152.047651229378,0,2250,2350
"score_diff",0.0876536325551636,0.00259970056868818,33.7168186255365,3.27754015953412e-249,2240,2340
"favored_by",0.158884332985995,0.00104280976826973,152.36176129192,0,2240,2340
"score_diff",0.088547473669695,0.00247463047044403,35.7820994800111,2.09695401171952e-280,2230,2330
"favored_by",0.158769363961802,0.00103989501434604,152.678262489457,0,2230,2330
"score_diff",0.0885772449980694,0.00236342053007489,37.478410579459,2.07036868069915e-307,2220,2320
"favored_by",0.158615561198145,0.00103743102394308,152.892633377472,0,2220,2320
"score_diff",0.0907887301406663,0.00226970533080247,40.0002277425886,0,2210,2310
"favored_by",0.15880680847286,0.00103697407331292,153.144434909066,0,2210,2310
"score_diff",0.0928384260750867,0.00219253578647033,42.3429467596255,0,2200,2300
"favored_by",0.159066028883967,0.00103799907678738,153.242938689578,0,2200,2300
"score_diff",0.0933445453579987,0.00211418248100279,44.1516028993506,0,2190,2290
"favored_by",0.15920297493849,0.00103773501330957,153.413899402658,0,2190,2290
"score_diff",0.094416952179487,0.00205077453459858,46.0396550603591,0,2180,2280
"favored_by",0.158548013146081,0.00103584765585067,153.061130418716,0,2180,2280
"score_diff",0.094930154420994,0.00198749173018695,47.7637984496491,0,2170,2270
"favored_by",0.158154159379338,0.001032357011381,153.197157219646,0,2170,2270
"score_diff",0.095306183198082,0.00193355470243947,49.2906578116663,0,2160,2260
"favored_by",0.157188697715658,0.00103007029571275,152.599971448447,0,2160,2260
"score_diff",0.0963014583436911,0.00186810729815293,51.5502821700381,0,2150,2250
"favored_by",0.156894785439838,0.00102054667694453,153.73602107997,0,2150,2250
"score_diff",0.0961510214618305,0.00182394163212253,52.7160627119077,0,2140,2240
"favored_by",0.157901441794097,0.00102223543061717,154.466805849965,0,2140,2240
"score_diff",0.0986787979245184,0.0017799735157599,55.4383517792908,0,2130,2230
"favored_by",0.15688650761237,0.00101572008740362,154.458407939339,0,2130,2230
"score_diff",0.0997235103990379,0.00174386409576888,57.1853681952602,0,2120,2220
"favored_by",0.156190165991046,0.0010132435348069,154.148692417576,0,2120,2220
"score_diff",0.0998794075090999,0.00171426526997805,58.2636825573551,0,2110,2210
"favored_by",0.156753879454886,0.00101518330128183,154.409434490263,0,2110,2210
"score_diff",0.0995080329331541,0.00168625041673007,59.0114208102717,0,2100,2200
"favored_by",0.156600312467037,0.00101665533745628,154.034810714572,0,2100,2200
"score_diff",0.100696740167696,0.00166444174994809,60.4988069848866,0,2090,2190
"favored_by",0.155837072379799,0.00101612023244163,153.364796216427,0,2090,2190
"score_diff",0.0999451969450368,0.00163528066757115,61.1180691651443,0,2080,2180
"favored_by",0.15507997509363,0.00101542574292964,152.724092503509,0,2080,2180
"score_diff",0.101517050481548,0.00162045070552277,62.6474166326445,0,2070,2170
"favored_by",0.155805183131641,0.00102319048125284,152.273878604565,0,2070,2170
"score_diff",0.102189390381856,0.00159497669172209,64.0695195812064,0,2060,2160
"favored_by",0.155461382510489,0.00102132179112178,152.2158675766,0,2060,2160
"score_diff",0.102671311171338,0.00158335836656879,64.8440134205573,0,2050,2150
"favored_by",0.155760012857724,0.00103317005018132,150.759318691428,0,2050,2150
"score_diff",0.103368988727449,0.00156494602426836,66.0527501424695,0,2040,2140
"favored_by",0.155103516663072,0.00103671195470171,149.611004252092,0,2040,2140
