"coefficient","estimate","std_error","z_value","p_value","min_time","max_time"
"score_diff",0.071217058068673,0.00700065124824116,10.1729189961528,2.61938961469147e-24,2340,2400
"favored_by",0.16216084964075,0.00140307048207513,115.575697523702,0,2340,2400
"timeout_diff",0.120720725672632,0.968157402185646,0.124691217977677,0.900768010176632,2340,2400
"timeout_ind",0.517050606480968,0.929253029944555,0.556415303280548,0.577926979711127,2340,2400
"score_diff",0.0680640599074888,0.00635141399280957,10.7163633144594,8.52912787448099e-27,2334,2394
"favored_by",0.162163801435792,0.00146950483864803,110.352682870364,0,2334,2394
"timeout_diff",0.0250384194275301,0.727593574212998,0.0344126450740208,0.972548100133832,2334,2394
"timeout_ind",0.162892745907131,0.687010734715459,0.237103639981109,0.812576388580314,2334,2394
"score_diff",0.0710461790122441,0.0058474899220787,12.1498591633294,5.74644992390051e-34,2328,2388
"favored_by",0.161669293141898,0.00141216699002263,114.483127196811,0,2328,2388
"timeout_diff",0.273418586202005,0.648331878408428,0.421726272157422,0.673224825813395,2328,2388
"timeout_ind",0.631959073893459,0.617861683129967,1.02281641854222,0.30639465361928,2328,2388
"score_diff",0.079880310075383,0.00543679575358013,14.6925346648864,7.1970505865555e-49,2322,2382
"favored_by",0.161122149631088,0.00140692797645108,114.520538597514,0,2322,2382
"timeout_diff",-0.145009404378935,0.538167713567025,-0.26945021175239,0.787583250998252,2322,2382
"timeout_ind",0.136894146982422,0.510006858397604,0.268416286425111,0.788378904582087,2322,2382
"score_diff",0.0792632928150998,0.0051136993935382,15.5001862086886,3.45888262241219e-54,2316,2376
"favored_by",0.16066423466317,0.00140222917673412,114.577729039533,0,2316,2376
"timeout_diff",0.138610533486524,0.484804478127288,0.285910175627814,0.774946919909232,2316,2376
"timeout_ind",0.376689564508311,0.461376798390763,0.816446700012154,0.414244696205074,2316,2376
"score_diff",0.0808422441316045,0.00479136044425001,16.8725031381476,7.16928471488505e-64,2310,2370
"favored_by",0.159460923054078,0.00138531590772774,115.107985236114,0,2310,2370
"timeout_diff",0.376828319120731,0.470107174356028,0.801579596475901,0.422796184045154,2310,2370
"timeout_ind",0.541977697878016,0.452286248259589,1.19830682441388,0.230797590797589,2310,2370
"score_diff",0.0806954796334323,0.00451173103184334,17.8857026413791,1.52419617322751e-71,2304,2364
"favored_by",0.159146796185546,0.00137063114410166,116.112053100803,0,2304,2364
"timeout_diff",0.23728031115267,0.379850245492705,0.624668047390342,0.532188948475315,2304,2364
"timeout_ind",0.402920565514024,0.370153763173271,1.0885221375567,0.276364669119599,2304,2364
"score_diff",0.0872324732774405,0.00430375755646229,20.2689096987949,2.41958075530218e-91,2298,2358
"favored_by",0.158598027626209,0.00135981804267091,116.631801203856,0,2298,2358
"timeout_diff",0.0657091963649378,0.341319726369187,0.19251508567619,0.847338752262209,2298,2358
"timeout_ind",0.278671834278258,0.336780218787055,0.827459033318289,0.407976932626105,2298,2358
