"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,2400,"PLAY",0,0,0,0.332943796850295,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
2,1,"19:49",2389,2389,"Zavier Turner missed Jumper.",0,0,0,0.338221339320443,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
3,1,"19:49",2389,2389,"Joseph Chartouny Defensive Rebound.",0,0,0,0.338221339320443,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
4,1,"19:31",2371,2371,"Javontae Hawkins made Jumper. Assisted by Antwoine Anderson.",0,2,-2,0.314341657157365,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
5,1,"19:15",2355,2355,"Samson Usilo made Layup. Assisted by Zavier Turner.",2,2,0,0.360326538361677,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
6,1,"19:03",2343,2343,"Christian Sengfelder made Three Point Jumper. Assisted by Antwoine Anderson.",2,5,-3,0.289100204132267,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
7,1,"18:48",2328,2328,"Zavier Turner Turnover.",2,5,-3,0.295563995316893,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
8,1,"18:31",2311,2311,"Javontae Hawkins missed Layup.",2,5,-3,0.283315019207383,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
9,1,"18:31",2311,2311,"Prokop Slanina Offensive Rebound.",2,5,-3,0.283315019207383,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
10,1,"18:27",2307,2307,"Prokop Slanina made Layup.",2,7,-5,0.244968065978185,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
11,1,"18:13",2293,2293,"Foul on Christian Sengfelder.",2,7,-5,0.253199260414567,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
12,1,"17:57",2277,2277,"Foul on Prokop Slanina.",2,7,-5,0.248339228291215,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
13,1,"17:57",2277,2277,"Samson Usilo made Free Throw.",3,7,-4,0.268153971504971,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
14,1,"17:57",2277,2277,"Samson Usilo made Free Throw.",4,7,-3,0.288941970138346,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
15,1,"17:42",2262,2262,"Javontae Hawkins missed Layup.",4,7,-3,0.272368168604702,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
16,1,"17:42",2262,2262,"Prokop Slanina Offensive Rebound.",4,7,-3,0.272368168604702,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
17,1,"17:36",2256,2256,"Prokop Slanina Turnover.",4,7,-3,0.298628864405804,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
18,1,"17:31",2251,2251,"Zavier Turner Turnover.",4,7,-3,0.298628864405804,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
19,1,"17:30",2250,2250,"Antwoine Anderson Steal.",4,7,-3,0.298628864405804,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
20,1,"17:21",2241,2241,"Joseph Chartouny missed Three Point Jumper.",4,7,-3,0.312707557655402,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
21,1,"17:21",2241,2241,"Prokop Slanina Offensive Rebound.",4,7,-3,0.312707557655402,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
22,1,"17:15",2235,2235,"Prokop Slanina made Two Point Tip Shot.",4,9,-5,0.2389074050339,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
23,1,"16:57",2217,2217,"Foul on Javontae Hawkins.",4,9,-5,0.234368435390024,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
24,1,"16:27",2187,2187,"Ahmed Ismail missed Two Point Tip Shot.",4,9,-5,0.244083632890801,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
25,1,"16:27",2187,2187,"Tyler Wilson Offensive Rebound.",4,9,-5,0.244083632890801,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
26,1,"16:19",2179,2179,"Ahmed Ismail Turnover.",4,9,-5,0.238158527555216,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
27,1,"16:16",2176,2176,"Javontae Hawkins made Jumper.",4,11,-7,0.200997942420073,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
28,1,"15:37",2137,2137,"Official TV Timeout",4,11,-7,0.188298247521442,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
29,1,"15:32",2132,2132,"Calvin Crawford made Jumper.",6,11,-5,0.228113916523063,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
30,1,"15:14",2114,2114,"Antwoine Anderson Turnover.",6,11,-5,0.222005246554424,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
31,1,"15:13",2113,2113,"Samson Usilo Steal.",6,11,-5,0.222005246554424,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
32,1,"15:07",2107,2107,"Zavier Turner Turnover.",6,11,-5,0.23777117865101,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
33,1,"15:04",2104,2104,"Joseph Chartouny missed Three Point Jumper.",6,11,-5,0.23777117865101,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
34,1,"15:04",2104,2104,"Thomas Capuano Defensive Rebound.",6,11,-5,0.23777117865101,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
35,1,"14:54",2094,2094,"Zavier Turner made Three Point Jumper. Assisted by Thomas Capuano.",9,11,-2,0.303591133836074,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
36,1,"14:31",2071,2071,"Foul on Zavier Turner.",9,11,-2,0.296759875312875,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
37,1,"14:22",2062,2062,"Christian Sengfelder missed Three Point Jumper.",9,11,-2,0.294519944854159,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
38,1,"14:22",2062,2062,"Samson Usilo Defensive Rebound.",9,11,-2,0.294519944854159,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
39,1,"14:11",2051,2051,"Samson Usilo Turnover.",9,11,-2,0.284502274910863,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
40,1,"13:54",2034,2034,"Will Tavares missed Layup.",9,11,-2,0.306269819365453,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
41,1,"13:54",2034,2034,"Ak Ojo Block.",9,11,-2,0.306269819365453,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
42,1,"13:52",2032,2032,"Thomas Capuano Defensive Rebound.",9,11,-2,0.306269819365453,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
43,1,"13:43",2023,2023,"Samson Usilo missed Layup.",9,11,-2,0.289391299571223,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
44,1,"13:43",2023,2023,"Ak Ojo Offensive Rebound.",9,11,-2,0.289391299571223,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
45,1,"13:40",2020,2020,"Zavier Turner missed Jumper.",9,11,-2,0.289391299571223,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
46,1,"13:40",2020,2020,"Zavier Turner Offensive Rebound.",9,11,-2,0.289391299571223,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
47,1,"13:35",2015,2015,"Zavier Turner made Three Point Jumper.",12,11,1,0.389744704422003,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
48,1,"13:14",1994,1994,"Nemanja Zarkovic made Three Point Jumper. Assisted by Will Tavares.",12,14,-2,0.297205997188675,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
49,1,"12:52",1972,1972,"Foul on Zane Waterman.",12,14,-2,0.296199859989949,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
50,1,"12:52",1972,1972,"Zane Waterman Turnover.",12,14,-2,0.296199859989949,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
51,1,"12:43",1963,1963,"Christian Sengfelder made Layup.",12,16,-4,0.264179548131316,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
52,1,"12:35",1955,1955,"Calvin Crawford made Three Point Jumper. Assisted by Aaron Walker Jr..",15,16,-1,0.343990912793572,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
53,1,"12:08",1928,1928,"Will Tavares made Layup.",15,18,-3,0.258580180163533,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
54,1,"11:42",1902,1902,"Thomas Capuano missed Three Point Jumper.",15,18,-3,0.276842068748913,"Manhattan","Fordham",4,4,0,0,-3.3,400917528,2016-12-10
