"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,2400,"PLAY",0,0,0,0.915638466505152,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
2,1,"19:43",2383,2383,"Darien Fernandez Turnover.",0,0,0,0.911845028731431,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
3,1,"19:42",2382,2382,"Jack Gibbs Steal.",0,0,0,0.911845028731431,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
4,1,"19:40",2380,2380,"Foul on Darien Fernandez.",0,0,0,0.911845028731431,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
5,1,"19:40",2380,2380,"Jack Gibbs made Free Throw.",1,0,1,0.914413883749627,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
6,1,"19:40",2380,2380,"Jack Gibbs made Free Throw.",2,0,2,0.916914702577679,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
7,1,"19:18",2358,2358,"J.R. Holder made Jumper.",2,2,0,0.911075629726867,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
8,1,"18:54",2334,2334,"Jack Gibbs missed Three Point Jumper.",2,2,0,0.905016534626841,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
9,1,"18:54",2334,2334,"Jack Gibbs Offensive Rebound.",2,2,0,0.905016534626841,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
10,1,"18:48",2328,2328,"Rusty Reigel missed Three Point Jumper.",2,2,0,0.905225864039397,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
11,1,"18:48",2328,2328,"J.R. Holder Defensive Rebound.",2,2,0,0.905225864039397,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
12,1,"18:37",2317,2317,"J.R. Holder missed Jumper.",2,2,0,0.894062907998381,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
13,1,"18:37",2317,2317,"Peyton Aldridge Defensive Rebound.",2,2,0,0.894062907998381,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
14,1,"18:23",2303,2303,"Jack Gibbs made Three Point Jumper. Assisted by Peyton Aldridge.",5,2,3,0.920647923618089,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
15,1,"17:56",2276,2276,"Cody Helgeland made Three Point Jumper. Assisted by Devin Harris.",5,5,0,0.902820089954831,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
16,1,"17:42",2262,2262,"Jon Axel Gudmundsson missed Three Point Jumper.",5,5,0,0.907332057566556,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
17,1,"17:42",2262,2262,"Devin Harris Defensive Rebound.",5,5,0,0.907332057566556,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
18,1,"17:23",2243,2243,"Omar El Manasterly Turnover.",5,5,0,0.890092473542645,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
19,1,"17:00",2220,2220,"Jack Gibbs missed Three Point Jumper.",5,5,0,0.901909497369429,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
20,1,"17:00",2220,2220,"J.R. Holder Defensive Rebound.",5,5,0,0.901909497369429,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
21,1,"16:50",2210,2210,"Darien Fernandez Turnover.",5,5,0,0.895648153469481,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
22,1,"16:33",2193,2193,"Will Magarity missed Layup.",5,5,0,0.904696987393607,"Davidson","Jacksonville",6,6,0,0,17.2,400918263,2016-12-21
